Variation,g1,g2,g3,l1,l2,lw,patch_r,slot_length,sw,dB(S(1 1)): Freq(6.6GHz),max(dB(S(1 1))): Freq(2.5GHz:6.3GHz),max(dB(S(1 1))): Freq(6.8GHz:12GHz),Cost
57,11.319728mm,1.9897959mm,6.6503401mm,14.082313mm,1.4829932mm,2.0238095mm,7.8367347mm,19.591837mm,0.63265306mm,-10.074345,-11.100623,-8.7530975,11.006363
58,14.14966mm,5.1734694mm,7.5346939mm,23.507483mm,1.7006803mm,2.9285714mm,9.5782313mm,12.653061mm,0.93877551mm,-12.724505,-8.7563408,-3.9211552,71.269001
59,21.22449mm,3.9mm,7.3931973mm,11.421088mm,1.1428571mm,3.8095238mm,10.884354mm,20.952381mm,0.74829932mm,-4.2184197,-7.177509,13.397727,555.42009
60,17.414966mm,3.2897959mm,4.9170068mm,8.6489796mm,2.7210884mm,2.952381mm,9.6870748mm,13.605442mm,1.414966mm,-10.038983,-10.661452,-1.6210643,79.441984
61,9.5782313mm,2.6265306mm,4.4571429mm,23.396599mm,1.9863946mm,4.547619mm,6.2040816mm,17.142857mm,0.60544218mm,-14.664684,-0.31098536,-7.6441413,158.17445
62,13.061224mm,3.555102mm,3.5020408mm,21.733333mm,2.6666667mm,2.4285714mm,7.4557823mm,29.52381mm,0.7414966mm,-14.418651,-8.6306221,-9.2933289,57.410965
63,14.47619mm,5.4918367mm,3.537415mm,21.622449mm,2.0136054mm,5.0238095mm,7.4013605mm,11.428571mm,0.8707483mm,-14.051691,-5.8438381,-5.0873322,91.134339
64,15.782313mm,3.7673469mm,7.1102041mm,19.848299mm,1.1292517mm,4.3809524mm,4.244898mm,25.306122mm,0.96598639mm,-11.877818,4.1642942,-5.341091,246.12577
65,22.312925mm,3.3163265mm,4.4217687mm,12.862585mm,1.0612245mm,2.8333333mm,8.6530612mm,15.238095mm,0.55782313mm,-8.4654329,-2.7842817,-6.4234249,67.005973
66,15.891156mm,2.0693878mm,4.8816327mm,24.283673mm,1.5102041mm,2.5714286mm,5.6598639mm,23.945578mm,0.81632653mm,-12.58337,-11.049681,-4.1548246,65.3401
67,18.938776mm,2.944898mm,6.5795918mm,10.201361mm,1.877551mm,4.1428571mm,11.70068mm,26.258503mm,1.3333333mm,-5.0787711,-6.9887689,15.881002,678.89376
